,avg_orig_message_likes,avg_orig_message_retweets,friends_count,followers_count,female_pct_follower,female_pct_friend,twitter,female,asstprof,assocprof,prof,academic,yrs_on_twitter,origtweets_year,friends_year,followers_year,orig_likes_year,orig_rt_year,ff_ratio
59,21.153654485049834,8.946985446985448,1429.0,10648.0,0.37763490725126475,0.3278566094100075,1.0,0.0,0.0,0.0,0.0,,5.6666665,234.70589,252.17647,1879.0588,4964.887,2099.9102,7.4513645
60,2.454810495626822,2.0730337078651684,302.0,485.0,0.46697038724373574,0.3745819397993311,1.0,1.0,1.0,0.0,0.0,1.0,5.6666665,175.76471,53.294117,85.588234,431.46906,364.36618,1.6059602
61,0.0,0.0,34.0,18.0,0.5882352941176471,0.45454545454545453,1.0,1.0,0.0,0.0,1.0,1.0,2.3333333,0.0,14.571428,7.714286,0.0,0.0,0.5294118
62,0.0,0.0,79.0,24.0,0.4166666666666667,0.26582278481012656,1.0,0.0,1.0,0.0,0.0,1.0,3.5,0.2857143,22.571428,6.857143,0.0,0.0,0.30379745
63,17.99337748344371,4.754237288135593,220.0,1430.0,0.5542435424354244,0.5265486725663717,1.0,1.0,0.0,0.0,1.0,1.0,4.1666665,39.36,52.8,343.2,708.21936,187.12679,6.5
64,0.0,0.0,23.0,12.0,0.5555555555555556,0.5909090909090909,1.0,1.0,0.0,0.0,0.0,,5.6666665,1.2352941,4.0588236,2.1176472,0.0,0.0,0.5217391
65,4.840579710144928,3.2033898305084745,300.0,408.0,0.4584450402144772,0.44802867383512546,1.0,1.0,0.0,1.0,0.0,1.0,5.6666665,18.17647,52.941177,72.0,87.98465,58.22632,1.36
66,3.20990099009901,2.1597938144329896,557.0,914.0,0.6932084309133489,0.7012750455373407,1.0,0.0,0.0,0.0,1.0,1.0,8.666667,191.65384,64.26923,105.46154,615.1898,413.93277,1.6409335
67,2.9448275862068964,5.3161764705882355,504.0,321.0,0.3951048951048951,0.36344969199178645,1.0,0.0,0.0,0.0,1.0,1.0,5.6666665,265.94116,88.94118,56.64706,783.1509,1413.7902,0.6369048
68,2.007142857142857,1.71875,219.0,213.0,0.8325123152709359,0.7663551401869159,1.0,1.0,0.0,0.0,1.0,1.0,5.6666665,180.70589,38.64706,37.588234,362.70255,310.58826,0.9726027
69,6.333333333333333,3.3333333333333335,90.0,87.0,0.23809523809523808,0.36666666666666664,1.0,1.0,1.0,0.0,0.0,1.0,1.5833334,8.842105,56.842106,54.94737,55.999996,29.473682,0.96666664
70,2.4336043360433606,2.780392156862745,210.0,598.0,0.4290718038528897,0.3018867924528302,1.0,0.0,0.0,0.0,0.0,,5.5833335,137.91045,37.61194,107.10448,335.61945,383.44513,2.847619
71,1.7440944881889764,1.9086021505376345,315.0,388.0,0.771117166212534,0.6721854304635762,1.0,1.0,0.0,1.0,0.0,1.0,5.5833335,355.88058,56.41791,69.49254,620.6894,679.23444,1.2317461
